smiles,Delta_Gibbs
CC=NC1=CC2=CC=CC=C2C=C1,-4.2
C1=CC=C2C(=C1)C(=C(C(=O)N2)Cl)I,-4.1
CCC1=C(C2=CC(=CC(=C2N1)C)C)C,-4.4
COC1=CC2=C(C=C(C=C2C=C1)Br)F,-4.1
CSP1(=S)OC2=CC=CC=C2O1,-3.6
C[C@@]12CCCC[C@H]1CCC2,-3.5
CSP1(=S)OC2=CC=CC=C2S1,-3.5
CC1=C(NC2=C1C=C(C=C2Cl)Cl)C,-4.1
C1=C2C(=C(C(=C1Cl)Br)Br)NC(=O)O2,-4.0
C1=CC(=O)NC2=C1C(=CC(=C2)I)I,-4.4
COC1=CC2=C(S1)C=C(S2)OC,-3.0
C1C(C(C2=C1C=C(C=C2)Cl)Cl)Cl,-3.9
CC1=C(NC2=C(C=CC(=C12)Cl)Cl)C,-4.1
CC12CCCCC1CCC2,-3.4
C1=CC(=O)NC2=C1C(=CC(=C2)Br)Br,-4.4
C1=C(C=C(C2=C1C(=C(N2)O)N=O)Cl)Cl,-4.2
C1=C2C(=C(C(=C1Cl)Cl)Br)NC(=O)O2,-4.0
C1=CC2=C(C(=C1)Br)SN(N2)Br,-3.5
CC1=C(C(=C2C(=C1C)NC(=S)N2)C)C,-4.1
CC1=CC2=C(C=C1Cl)NC(=O)C2SC,-4.1
CC1=C2C=CC=CC2=C(S1)C,-3.6
C1=CC=C2C(=C1)NC(=S)S2(=S)=S,-3.7
CC1C=C(C2=C1C=CC(=C2)OC)C,-4.1
CC1(CC2=C(C1)C=C(C=C2)OC)C,-4.3
CCN1C2=CC(=C(C=C2NC1=O)Br)Br,-4.1
CC1=C(C2=C(C=C1)C=CC(=C2)OC)C,-4.6
C1=CC(=C(C2=C1NC(=O)C(=O)N2)Cl)Cl,-4.2
C1=CC2=C(C=C1Cl)C=C(S2)CCl,-3.5
CC1CCC2=C(C1C)C=C(C=C2)OC,-4.1
CC1=C2C=C(SC2=C(C=C1)C)C,-3.9
CC1=CSC2=C1C=CC(=C2)OC,-3.6
CC1=CC(=C2C(=C(NC2=C1)C)C)C,-4.3
C=COC1CCC2CCCCC2C1,-3.9
C1=C2C(=C(C(=C1Cl)Cl)Cl)NC(=O)N2,-4.0
COC1=CC2=C(C=C1)C(=C(C(=C2F)F)F)F,-4.3
C=C1C2=C(C=C(C=C2)Cl)NC1=O,-4.4
C1OCSC2=C(S1)SC(=S)S2,-2.6
CC1=CC2=C(C=C(C=C2)OC)C(=C1)Cl,-4.2
CC1=C(SC2=C1C=CC(=C2)OC)C,-3.8
CC1=CC(=C(C2=CC=CC=C12)C)OC,-4.3
CC1(C2=C(C=CC(=C2)Cl)NC1=S)Cl,-4.1
C1CC2CC3CC3C2C1,-3.5
